"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Bhlhe40",6.95426430213529e-160,0.601530619629245,0.733,0.251,1.19571620410914e-155
"Rps3a1",4.70984885071268e-137,0.487380824020317,0.984,0.941,8.09811411391538e-133
"Rps7",1.049153057319e-132,0.630676012949456,0.961,0.829,1.80391376675428e-128
"Rpl9",8.982399192864e-132,0.553145145101605,0.954,0.848,1.54443371722104e-127
"Rpl5",1.29039916607879e-124,0.556829269824221,0.955,0.81,2.21871232615587e-120
"Rpl23",2.39950304201778e-119,0.495896702132464,0.985,0.947,4.12570553044538e-115
"Rps24",4.19152007739388e-119,0.469319067927662,0.986,0.938,7.20689962107103e-115
"Rpl17",4.12066577128936e-118,0.526396412829079,0.978,0.908,7.08507272715493e-114
"Rps3",2.24675203383721e-117,0.517211835990394,0.961,0.869,3.8630654469797e-113
"Abcd2",4.891208009379e-116,0.259264338495455,0.308,0.051,8.40994305132625e-112
"Rps9",5.76767052816105e-115,0.521554199791536,0.975,0.912,9.9169327061201e-111
"Trf",1.28805011911717e-112,0.706116228223791,0.525,0.178,2.21467337481006e-108
"Rps5",1.5975510624829e-112,0.507692749590012,0.969,0.838,2.7468292968331e-108
"Rpl13",7.13866218747921e-112,0.474718825054095,0.988,0.952,1.22742157651517e-107
"Rps6",7.26386862118831e-112,0.510865458141783,0.951,0.819,1.24894957072712e-107
"Rpl32",5.20090508973845e-109,0.564838819588338,0.972,0.892,8.9424362112963e-105
"Rps4x",6.17232373430686e-109,0.56249616143803,0.956,0.826,1.06126934287672e-104
"Rpl7",9.69011624779153e-108,0.467104826076583,0.97,0.842,1.66611858764528e-103
"Rpl26",1.03263318885545e-106,0.494422996220326,0.97,0.878,1.77550950491806e-102
"Rpl30",2.41101470392587e-106,0.458327099519947,0.975,0.903,4.14549868193013e-102
"Rpl13a",9.19600562420185e-106,0.40315874056449,0.666,0.271,1.58116120702527e-101
"Rps10",6.69377112452786e-104,0.439475954934267,0.981,0.939,1.15092700715132e-99
"Rps27a",1.43155541126315e-102,0.467259768773515,0.982,0.939,2.46141637412587e-98
"Rps18",1.47954477670749e-102,0.562561309426284,0.954,0.843,2.54392928907085e-98
"Rps8",3.95532870974511e-102,0.453227240124908,0.982,0.936,6.80079218353573e-98
"Rplp0",1.61113943870317e-100,0.466003926398801,0.978,0.936,2.77019315090624e-96
"Rps23",4.28552533322966e-99,0.429772843444454,0.973,0.922,7.36853225795508e-95
"Rpl14",1.19300866896939e-97,0.527792989393617,0.921,0.738,2.05125910542597e-93
"Rps16",5.01629123111529e-97,0.397602302628581,0.986,0.952,8.62501114277962e-93
"Rpl37a",7.84196821267065e-92,0.444647039620731,0.987,0.93,1.34834801448659e-87
"Rack1",8.56440791528152e-92,0.423163410309578,0.963,0.86,1.4725642969535e-87
"Rbpms",2.30529997624049e-91,0.252363838180959,0.441,0.127,3.9637327791479e-87
"Ccl2",1.35051699647462e-90,-1.10529600176349,0.241,0.579,2.32207892373846e-86
"Rpl28",2.65446523940887e-90,0.473070304513086,0.96,0.872,4.56408753263961e-86
"Tpt1",4.05348093734302e-90,0.346570337753138,0.995,0.99,6.96955512366758e-86
"Rpl18a",5.78311657867731e-90,0.447953997473129,0.973,0.885,9.94349064537776e-86
"Rps14",1.33450659453625e-89,0.451809148914704,0.98,0.938,2.29455063864562e-85
"Rps19",5.74378378452719e-89,0.384009677998981,0.986,0.946,9.87586183911606e-85
"Rpl23a",1.83423643787736e-88,0.421220256299135,0.955,0.827,3.15378613128633e-84
"Rpl10a",2.53167738269714e-88,0.555197208021955,0.864,0.589,4.35296609180946e-84
"Rpl27a",4.09161689571564e-88,0.407831096041841,0.974,0.923,7.03512609049347e-84
"Rpl11",1.1852185071549e-87,0.431867717729983,0.965,0.874,2.03786470120214e-83
"Dhrs3",4.418168949313e-87,0.343358261998405,0.454,0.148,7.59659969144876e-83
"Rpl6",4.61444734810452e-87,0.444142938241167,0.951,0.84,7.93408077033091e-83
"Rps15a",3.0233263210741e-86,0.420673655747167,0.957,0.883,5.19830727645481e-82
"Rpsa",6.78373735833293e-85,0.394831560570459,0.99,0.942,1.16639580139176e-80
"Rps11",1.07066238305436e-84,0.492620691363415,0.959,0.865,1.84089690142366e-80
"Tgm2",2.91507693641056e-82,0.454175440079103,0.485,0.173,5.01218328446432e-78
"Mmp12",2.86997812159003e-81,-0.518885050838255,0.565,0.807,4.93464038226191e-77
"Rpl24",6.88309829397509e-81,0.408512434582726,0.96,0.881,1.18347992066608e-76
"Rpl36a",3.91516730133865e-80,0.463855062238205,0.907,0.713,6.73173865792167e-76
"Rpl10",1.37871048990399e-79,0.501047337461134,0.932,0.793,2.37055481634093e-75
"Rps13",2.21487346478443e-79,0.402681316810745,0.967,0.886,3.80825343535035e-75
"Rpl19",1.14363282556688e-78,0.343080317148223,0.984,0.944,1.96636228027969e-74
"Idh1",4.6196845949627e-78,0.318168246143205,0.545,0.218,7.94308569257886e-74
"Eef1a1",5.92316151220121e-78,0.390672459725726,0.988,0.969,1.01842839040788e-73
"Rpl29",3.38386691589483e-77,0.414032046781169,0.921,0.755,5.81822077518957e-73
"Rpl4",2.01090428203078e-76,0.420769629327509,0.905,0.7,3.45754882252371e-72
"Rpl21",5.2632372004388e-76,0.376863283056016,0.965,0.864,9.04961004243447e-72
"Rpl12",5.68300585948381e-76,0.420432669747962,0.961,0.856,9.77136027479646e-72
"Rpl35",1.40378912302084e-75,0.433113104590253,0.907,0.72,2.41367501812203e-71
"Rpl37",4.67293607424527e-75,0.375644647645084,0.972,0.902,8.03464628605732e-71
"Rps12",3.58944292991868e-74,0.335097396693106,0.986,0.959,6.17168817370217e-70
"Ssh2",1.59497757051212e-73,0.29301044819736,0.459,0.164,2.74240443473855e-69
"Rpl3",6.48998954863784e-73,0.488568894593127,0.902,0.697,1.11588880299279e-68
"Eef1b2",9.18366667212344e-73,0.434147807152828,0.883,0.632,1.5790396476049e-68
"Emp1",3.53321056519625e-72,-0.746754347855019,0.184,0.461,6.07500224579844e-68
"Rpl39",1.45603301147919e-71,0.371665676289136,0.96,0.869,2.50350315993733e-67
"Rpl8",7.28014838860771e-71,0.343024646969281,0.97,0.912,1.25174871393721e-66
"Rps25",1.81511481089959e-70,0.362351568425552,0.957,0.878,3.12090840586076e-66
"Rpl7a",3.30337212624298e-69,0.359385631987555,0.935,0.776,5.67981803386219e-65
"Scd2",3.23937302380704e-67,0.40117585961808,0.625,0.3,5.56977797713383e-63
"Rpl18",7.13198068610678e-67,0.333049393601822,0.963,0.899,1.2262727591692e-62
"Fau",4.12671486424749e-66,0.351888103575598,0.998,0.98,7.09547353758713e-62
"Eef2",3.47772440008592e-65,0.389885041103908,0.892,0.672,5.97959933350773e-61
"Cox7a2l",4.71564829615341e-65,0.471475961046715,0.79,0.499,8.10808568040617e-61
"Rplp1",5.48568996910836e-65,0.298464455822506,0.991,0.977,9.43209533288492e-61
"Apoe",9.20753163514714e-65,1.23889723025477,0.185,0.035,1.5831429893472e-60
"Rpl34",1.26904843885186e-64,0.346321005039875,0.975,0.907,2.18200188576189e-60
"Rpl36",2.49285464829907e-64,0.334114895063522,0.951,0.87,4.28621428228542e-60
"Rps15",1.08458593179104e-63,0.330927417210103,0.96,0.884,1.86483705112152e-59
"Uba52",1.3026791398343e-63,0.261117364339755,0.639,0.297,2.2398265130311e-59
"Clec4n",4.76787673870772e-63,-0.471925766542342,0.945,0.959,8.19788726453406e-59
"Rpl15",5.94979587149812e-63,0.398175380314651,0.934,0.814,1.02300790214539e-58
"Rplp2",6.181622920135e-63,0.275593594738866,0.989,0.966,1.06286824488801e-58
"Clec4d",1.05573621688236e-62,-0.492275448778559,0.87,0.892,1.81523285130753e-58
"Selenop",8.31097554652403e-62,0.295398364947988,0.384,0.138,1.42898913546934e-57
"Rps2",1.87321392206652e-61,0.37052518019019,0.961,0.902,3.22080401760118e-57
"Vegfa",3.14475482052067e-61,0.322508948156405,0.388,0.138,5.40709143840324e-57
"Plin2",1.38021122470004e-60,0.43972160992476,0.76,0.436,2.37313517974925e-56
"Mgst1",1.62926882065078e-60,0.372237312862254,0.763,0.442,2.80136481022694e-56
