"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Fth1",3.9124755272681e-29,-0.614499116213357,1,1,6.72711042158477e-25
"Ftl1",1.0417257198273e-23,-0.650141635777858,0.973,0.99,1.79114320267106e-19
"Lgals3",7.67998023348776e-22,-0.744764057384411,0.858,0.977,1.32049580134588e-17
"Bhlhe40",4.25390062941398e-14,0.525024154238374,0.236,0.029,7.31415674221439e-10
"Vim",6.09744712114951e-14,-0.769221626449392,0.568,0.757,1.04839505801045e-09
"S100a6",1.43099326262495e-13,-0.699353166096416,0.52,0.721,2.46044981575735e-09
"Ccl6",3.9584993872461e-13,-0.339780001099596,0.818,0.958,6.80624384643095e-09
"Prdx1",1.55425585818709e-12,-0.730239489108256,0.608,0.799,2.67238752256688e-08
"Wfdc17",3.56515153203098e-12,-0.573681400647548,0.75,0.888,6.12992154417406e-08
"Mmp12",3.72349720740373e-12,-0.57827409070689,0.764,0.924,6.40218109840998e-08
"Ccl2",9.0581733596518e-12,-0.917517025175711,0.101,0.407,1.55746232745853e-07
"Actb",3.54508427173039e-11,-0.656039582483369,0.845,0.935,6.09541789681324e-07
"S100a9",3.14784519962075e-10,-1.12480103822089,0.351,0.619,5.41240503622791e-06
"H2-Ab1",3.88274940238097e-10,0.778659528402337,0.324,0.102,6.67599932245384e-06
"Gpnmb",6.15336906817401e-10,-0.706914603722702,0.412,0.629,1.05801027758184e-05
"Fabp5",2.29441975870859e-08,-0.572737789221604,0.5,0.658,0.000394502533312355
"Rpl41",2.8995951368983e-08,-0.265054496656854,0.709,0.809,0.000498556387838294
"Lgals1",5.94353845422682e-08,-0.628925155469132,0.291,0.496,0.00102193200181976
"Napsa",7.176468105348e-08,0.472939784221648,0.176,0.037,0.00123392192603353
"Akr1a1",8.17131288258717e-08,-0.598881724188664,0.338,0.53,0.00140497553703204
"Sh3bgrl3",1.5825675373332e-07,-0.593634557230396,0.486,0.619,0.0027210666236907
"H2-Aa",2.5627192254779e-07,0.554636575575909,0.304,0.115,0.0044063394362867
"Fn1",3.85677767966803e-07,0.456595330024195,0.135,0.023,0.00663134354242121
"H2-Eb1",2.38625627135599e-06,0.555302570976209,0.291,0.115,0.0410292903296948
"Ccl9",2.40150802386928e-06,-0.420392644362783,0.419,0.601,0.0412915289624084
"S100a8",3.41068772800221e-06,-0.928253085570778,0.358,0.543,0.05864336479527
"Fcho2",4.62757141843335e-06,0.44459302498309,0.122,0.023,0.079566462968543
"Ccl4",4.77639674265545e-06,-0.83779337848743,0.128,0.308,0.0821253655932177
"Ccl7",4.94187374702282e-06,-0.497648002658158,0.014,0.157,0.0849705772063104
"S100a4",5.71805541645453e-06,-0.620602052847553,0.23,0.399,0.0983162448305191
"Tmsb10",9.67887309262509e-06,-0.348408009452077,0.622,0.713,0.166418543954596
"Dst",1.14861139426424e-05,0.387497951284973,0.122,0.026,0.197492243129794
"Cst3",1.22030544718377e-05,0.814418375417126,0.547,0.329,0.209819318588777
"Anxa1",1.65308480757794e-05,-0.599479428547517,0.324,0.462,0.284231401814951
"Pf4",2.13258737046289e-05,-0.612807025503617,0.081,0.235,0.366677072477388
"Phf14",4.25252757179228e-05,0.363305375145941,0.108,0.023,0.731179590693964
"Il1rn",4.59038987944894e-05,-0.583975796667798,0.189,0.345,0.789271635872451
"Phf20l1",4.81369050619531e-05,0.286182881679353,0.128,0.034,0.827665945635222
"Eif1",6.10662168160526e-05,-0.41133643586724,0.264,0.413,1
"Rbm5",6.3922600141595e-05,0.390392627476664,0.115,0.029,1
"Anxa2",7.57924924011284e-05,-0.601594400177398,0.304,0.433,1
"Mgl2",9.08658313760056e-05,0.403332369093645,0.142,0.044,1
"Ccr2",0.000108596966782303,0.273335383687996,0.101,0.023,1
"Txnip",0.000116382349666779,0.360999364311301,0.23,0.097,1
"Cox7a2l",0.000151342391585966,0.307905605116809,0.209,0.084,1
"Wdfy4",0.000168289042466478,0.378531797043859,0.108,0.029,1
"Dock2",0.000200163562358644,0.261424872820675,0.128,0.039,1
"Mbnl1",0.000240374236571396,0.556666559359226,0.318,0.175,1
"AY036118",0.000310986327315929,0.497227983429964,0.331,0.175,1
"Rrbp1",0.000312119916704153,0.323770006440311,0.128,0.042,1
"Arhgap45",0.000333627959296106,0.366860267034524,0.142,0.05,1
"Cstb",0.000389522558341396,-0.493589648415816,0.318,0.444,1
"Golga4",0.000416803887417031,0.48736840770697,0.155,0.06,1
"Rpl39",0.000561222836372706,-0.485959317375573,0.324,0.441,1
"Lyst",0.000569451884485205,0.331928548582959,0.101,0.029,1
"Pnisr",0.000587398457699815,0.275262843555149,0.142,0.052,1
"Ccnl1",0.000774980111899067,0.287281958718081,0.162,0.065,1
"Ctsd",0.00078350631823459,-0.263136090512974,0.581,0.634,1
"Capg",0.000802035759657907,-0.48143829887878,0.264,0.371,1
"Gm26917",0.000851887350672763,1.77371172327354,0.405,0.261,1
"Clec4d",0.000916995063433919,-0.444358601682698,0.047,0.146,1
"Cd74",0.00107370359711061,0.770614263440042,0.426,0.282,1
"Myh9",0.00111812000808321,0.362173769351377,0.23,0.115,1
"Akap13",0.00112864264932023,0.297603748039136,0.162,0.068,1
"Atp6v1g1",0.00113053041541858,-0.349045499814462,0.122,0.24,1
"Mt1",0.00160508170722563,-0.687751450647919,0.459,0.514,1
"Gm5483",0.00162247776119201,-0.266501886754827,0.054,0.151,1
"Gm2a",0.00165267219310208,0.34040293962309,0.189,0.089,1
"Tapbp",0.00166493808193367,0.266507848714581,0.142,0.057,1
"Runx3",0.00183918161955701,0.251210825924271,0.101,0.034,1
"Actg1",0.00186256192637629,-0.312232981478758,0.716,0.713,1
"Ctsb",0.00188166471160199,-0.334917551964498,0.399,0.488,1
"H2-K1",0.00201389780200669,0.30719163090494,0.284,0.154,1
"Kmt2e",0.00202494020077187,0.25728521082143,0.128,0.05,1
"Clk1",0.00209288586242396,0.313819050574341,0.122,0.047,1
"Rnh1",0.00229308805093732,-0.493749732282125,0.088,0.185,1
"Ttc14",0.00241164750238514,0.301391974025811,0.108,0.039,1
"Ccl3",0.00348772385097624,-0.266306517338584,0.101,0.209,1
"Azin1",0.00348987449896248,-0.380557858198179,0.027,0.102,1
"Rsrp1",0.00355868221596379,0.341657142267972,0.291,0.172,1
"Sdcbp",0.00369784213655626,-0.427720613396759,0.149,0.251,1
"Luc7l2",0.00380127554594309,0.291178767520108,0.216,0.115,1
"Atp6v0d2",0.00394493136429017,-0.344211063904585,0.23,0.326,1
"Dab2",0.00420599790357123,-0.376054638005417,0.047,0.131,1
"S100a11",0.00428713596948438,-0.266130889522213,0.466,0.53,1
"Lmna",0.00446650814578522,-0.430349441081366,0.054,0.138,1
"Fcer1g",0.00473870571745298,-0.440021681846212,0.365,0.426,1
"Csf2ra",0.0048040619057781,0.255064161136243,0.149,0.068,1
"Plaur",0.0049402601315146,-0.400318433207386,0.108,0.204,1
"Cd52",0.00506125460038396,-0.275586688047926,0.466,0.533,1
"Pten",0.00520198710262378,0.293022572509488,0.135,0.06,1
"Rps29",0.00521205911468202,-0.312501256777345,0.655,0.658,1
"Eif4a1",0.00528451236690025,-0.471686139546552,0.257,0.332,1
"Son",0.00591111595116983,0.373315814589464,0.182,0.097,1
"Sat1",0.00619449555257345,0.310037916792705,0.223,0.123,1
"Snrnp70",0.00631497405180379,0.304112619426244,0.176,0.091,1
"Rpsa",0.00759715290560216,0.253598080250995,0.709,0.538,1
"Atp6v1e1",0.0076086731217669,-0.443790087978783,0.149,0.238,1
"Bri3",0.00802701213492536,-0.409503036637231,0.128,0.222,1
"Ggnbp2",0.00833463086030949,0.270001459100703,0.122,0.055,1
"Pold4",0.00846566159392895,0.260363603000952,0.101,0.042,1
"Lat2",0.00885057117229102,-0.311663662665818,0.041,0.112,1
"Myl6",0.0092645317850701,-0.367258389446192,0.453,0.499,1
"Ctsl",0.0101818587594731,-0.40463088613192,0.27,0.371,1
"Kcnq1ot1",0.0110945359882638,0.442598659608092,0.115,0.052,1
"Ckb",0.0112180150206689,-0.415468516300509,0.101,0.183,1
"Pgam1",0.0116561916593001,-0.283859459227593,0.25,0.329,1
"Bnip3l",0.0117034953002093,-0.286468058313338,0.135,0.214,1
