"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Mcpt8",0,4.66366793293405,1,0.003,0,0,4.77566343293478,0.969,0.008,0,0,0
"Prss34",0,4.5088748690061,0.857,0.001,0,0,4.18223189186158,0.875,0.003,0,0,0
"Cpa3",0,2.68919244488481,0.929,0.001,0,0,2.62884863492174,0.906,0.001,0,0,0
"Prg3",0,2.04445733589526,0.357,0,0,0,1.08686203441556,0.297,0.001,0,0,0
"Ms4a2",0,1.90411107937198,0.786,0.001,0,0,1.6430991559068,0.75,0.002,0,0,0
"Fcer1a",0,1.65523184742944,0.5,0,0,0,1.58332775840549,0.688,0,0,0,0
"Csrp3",0,1.27298765244645,0.571,0.001,0,0,0.822972609544189,0.359,0,0,0,0
"Gata1",0,0.937999124585385,0.286,0,0,0,0.470002436209819,0.391,0,0,0,0
"Rnase12",0,0.872967352031639,0.5,0,0,0,1.05964236189685,0.594,0.001,0,0,0
"Maob",0,0.690010463566548,0.429,0,0,0,0.395085428033712,0.203,0.001,0,0,0
"Alox8",0,0.384519177927487,0.286,0,0,0,0.419299278866358,0.281,0.001,0,0,0
"Ctla2a",4.6296812122225e-299,1.69761834613755,0.429,0.001,7.96027387629537e-295,0,1.34347191991098,0.469,0.002,0,4.6296812122225e-299,0
"Epx",7.70073753837053e-240,3.16829152341287,0.429,0.001,1.32406481234743e-235,0,1.68909445856884,0.266,0.001,0,7.70073753837053e-240,0
"Grm6",3.800240935606e-225,0.341248941414576,0.214,0,6.53413426468096e-221,0,1.3022516666465,0.562,0,0,3.800240935606e-225,0
"Igfbp7",3.85063544729508e-200,0.382738679774708,0.286,0.001,6.62078258807916e-196,0,0.372120165850286,0.266,0.002,0,3.85063544729508e-200,0
"Skap1",5.1247118003329e-200,0.35127858113474,0.286,0.001,8.81142946949239e-196,0,0.422677712368221,0.203,0.001,0,5.1247118003329e-200,0
"Itga2b",1.4598905149458e-177,1.50240487961505,0.857,0.011,2.51013575139781e-173,0,1.32155613895697,0.812,0.006,0,1.4598905149458e-177,0
"Atp1b1",5.86624447359278e-139,0.633335677151175,0.357,0.002,1.00864207478954e-134,0,0.69304577903996,0.422,0.004,0,5.86624447359278e-139,0
"Il4",4.49594037492448e-129,0.346727844919427,0.214,0.001,7.73031988064516e-125,0,0.449816009417781,0.25,0,0,4.49594037492448e-129,0
"Cyp11a1",5.84168014728301e-100,2.69063468820839,0.929,0.025,1.00441848452384e-95,0,2.67820807975407,0.969,0.037,0,5.84168014728301e-100,0
"Ctsg",1.48855776815596e-92,2.60573128407276,0.5,0.007,2.55942622656735e-88,0,2.34187345288137,0.734,0.021,0,1.48855776815596e-92,0
"Slc18a2",1.49711337846827e-78,0.549793691426042,0.357,0.004,2.57413674293835e-74,0,0.49000754501992,0.281,0.002,0,1.49711337846827e-78,0
"Gata2",1.9095607927897e-68,2.35030106280529,0.929,0.039,3.28329882712262e-64,0,2.41554898346266,0.953,0.011,0,1.9095607927897e-68,0
"Alox15",2.06711120385311e-55,1.24015171451539,0.643,0.022,3.55419100390503e-51,0,1.35415842486562,0.578,0.003,0,2.06711120385311e-55,0
"Lama5",1.39616362294577e-41,0.641952740688002,0.286,0.005,2.40056373329296e-37,0,0.752897562083292,0.391,0.002,0,1.39616362294577e-41,0
"F2r",7.26196912251616e-32,0.715908569522081,0.214,0.004,1.24862297092543e-27,0,1.58441185456911,0.641,0.005,0,7.26196912251616e-32,0
"Cd200r3",9.93201145572475e-31,2.12017347983885,0.714,0.053,1.70771004969731e-26,0,1.92410881048192,0.891,0.024,0,9.93201145572475e-31,0
"Tespa1",4.71459950464649e-29,1.10919640609136,0.643,0.043,8.10628238828918e-25,0,1.01338040913199,0.688,0.01,0,4.71459950464649e-29,0
"Prg2",6.74368167441812e-47,5.35349297884887,0.429,0.011,1.15950862709945e-42,1.90897691759044e-304,4.41709875145393,0.422,0.006,3.28229491210501e-300,6.74368167441812e-47,3.81795383518088e-304
"Il1rl1",2.63999928901941e-13,1.03399834763589,0.571,0.075,4.53921477753998e-09,9.05435302573615e-251,0.968092111521562,0.531,0.013,1.55680545924507e-246,2.63999928901941e-13,1.81087060514706e-250
"Prkcq",3.9814812333836e-05,0.3171600953762,0.214,0.03,0.684575883267977,3.29766184371182e-244,0.502295826963626,0.312,0.004,5.6699997740781e-240,3.9814812333836e-05,6.59532368742314e-244
"Hmgn3",6.52541360225596e-10,0.404356148598145,0.357,0.039,1.12197961477189e-05,2.13462704178296e-235,1.12950820932082,0.594,0.018,3.67027773564162e-231,6.52541360225596e-10,4.26925408356574e-235
"Akr1c18",3.60893591229729e-113,1.01900456340734,0.214,0.001,6.20520440760395e-109,4.30919021969648e-235,1.71378167114791,0.297,0.004,7.40922166374613e-231,3.60893591229729e-113,8.61838043939285e-235
"Mboat1",4.01597170334777e-28,0.987248908414365,0.714,0.058,6.90506174673616e-24,1.06185498322629e-221,1.32040594088151,0.812,0.039,1.82575345815928e-217,4.01597170334777e-28,2.12370996645255e-221
"Akr1c12",9.48304941297147e-08,0.342822403302774,0.214,0.019,0.00163051551606631,1.82259602283377e-208,0.728131281769715,0.484,0.013,3.13377160166039e-204,9.48304941297147e-08,3.64519204566765e-208
"Ptprcap",4.43392616792169e-48,0.765896290036868,0.571,0.02,7.62369265312456e-44,1.84195473296345e-207,0.769119113344895,0.547,0.017,3.16705696785736e-203,4.43392616792169e-48,3.68390946592699e-207
