"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccl2",8.5712568545357e-229,-2.81267621869149,0.216,0.874,1.47374190356887e-224
"Rps9",6.9214459316253e-165,0.834177870571418,0.999,0.999,1.19007341348365e-160
"Rps27a",2.9950290423854e-160,0.619837607125342,1,0.999,5.14965293547747e-156
"Rbpms",8.69800213280844e-152,0.617114912119875,0.712,0.178,1.49553448671508e-147
"Rpl5",1.70378488726326e-150,0.750836409570088,0.995,0.985,2.92948773516044e-146
"Rps3a1",4.92108237650769e-150,0.615792203233558,1,0.999,8.46130903816733e-146
"Rps14",2.11526343337891e-149,0.773104203874358,1,0.997,3.6369839473517e-145
"Axl",2.78759932155839e-149,1.11879828923673,0.904,0.477,4.7929982734875e-145
"Rpl17",1.16040238858906e-147,0.768834726861916,1,0.995,1.99519586694002e-143
"Emp1",1.01820723095908e-145,-1.02981504326429,0.317,0.77,1.75070551291104e-141
"Trf",1.41525031485848e-144,1.484582025127,0.873,0.438,2.43338139136768e-140
"Msr1",9.64758073578815e-142,-0.968584006012742,0.866,0.969,1.65880503171142e-137
"Rps3",1.87032460289575e-140,0.772376806315569,0.999,0.985,3.21583612221896e-136
"Bhlhe40",2.21285019858861e-138,0.899656264506626,0.827,0.393,3.80477463145326e-134
"Rpl18a",1.90106062691356e-137,0.765921116917527,0.997,0.989,3.26868364191517e-133
"Rps11",5.71520257141885e-137,0.88379499675229,0.999,0.983,9.82671930129757e-133
"Cox7a2l",2.20649305242356e-135,0.915468595336462,0.989,0.919,3.79384415433707e-131
"Vim",5.97779461003229e-135,-0.84658098185426,1,0.998,1.02782200524895e-130
"Rpl7",1.08953650556073e-133,0.661469596945821,1,0.988,1.87334906766112e-129
"Rps7",1.87059228304867e-133,0.840512585775856,0.998,0.983,3.21629637147389e-129
"Rpl30",1.96345042421596e-132,0.609973747187585,1,0.997,3.37595665939692e-128
"Ccl7",2.43995795739814e-132,-2.11674763325335,0.041,0.542,4.19526371195036e-128
"Rps16",1.0505106883801e-131,0.630767635767174,1,0.995,1.80624807760074e-127
"Klk1b11",2.85467008340264e-131,1.74342047087894,0.703,0.249,4.9083197414025e-127
"Rpl9",5.82742691630036e-131,0.716907530641745,0.999,0.988,1.00196778398868e-126
"Eef1a1",2.84397119149921e-129,0.712698190869962,1,1,4.88992406666373e-125
"Fau",5.2843838279291e-129,0.720325723235061,1,0.995,9.0859695537413e-125
"Rps18",1.06111968068212e-128,0.749225689563112,0.999,0.99,1.82448917896484e-124
"Rps4x",1.03267554964652e-126,0.691684515320985,0.998,0.984,1.77558234006223e-122
"Naca",1.59641719281406e-125,0.75195884474441,0.995,0.971,2.74487972132449e-121
"Rps23",2.15320763821834e-124,0.649962815106552,1,0.996,3.70222521315261e-120
"Lmna",1.49379822372116e-123,-0.923036352880282,0.801,0.922,2.56843666586617e-119
"Rpl10",5.6352889405513e-123,0.921355968143323,0.994,0.976,9.6893158043839e-119
"S100a9",1.42172770847533e-122,-2.41513445215336,0.587,0.855,2.44451862195248e-118
"Rpl6",6.33843785779823e-122,0.664250178688285,1,0.992,1.08983100526983e-117
"Rpl35a",2.83982557588258e-120,0.543999985982532,1,0.998,4.88279609517252e-116
"Tgm2",3.26827904359439e-120,0.906595656940447,0.672,0.207,5.61947898755619e-116
"Mrc1",1.4041222053865e-118,-1.14954541841636,0.754,0.941,2.41424771994155e-114
"Rps5",1.191435661014e-117,0.682102488126057,0.997,0.985,2.04855447554747e-113
"Rpl11",1.28435618193477e-117,0.703160747014677,0.999,0.992,2.20832201921864e-113
"Lgals1",1.13222058385032e-116,-0.845540574121046,0.97,0.98,1.94674007187223e-112
"Rpl23",1.96827721920029e-116,0.570316852598755,1,0.999,3.38425585069297e-112
"Eef1b2",6.32881925189615e-114,0.654212919629864,0.997,0.96,1.08817718217102e-109
"Rpl24",7.29521183532405e-114,0.655136229854191,1,0.994,1.25433872296562e-109
"Dab2",2.43587253585253e-113,-0.923181249713646,0.907,0.973,4.18823923814485e-109
"Rps15a",5.14890622342904e-113,0.650095236833762,0.999,0.992,8.8530293605639e-109
"Ccnd1",5.7766324244669e-111,-1.06069112597485,0.248,0.669,9.93234179062839e-107
"Rpl26",2.36278597812482e-109,0.600730150059053,0.999,0.991,4.06257421078782e-105
"Fn1",5.52444376606738e-109,2.14980592722556,0.705,0.324,9.49872861137625e-105
"Rpl7a",4.18930953534767e-108,0.562604691906621,0.995,0.981,7.20309881507678e-104
"Rpl10a",6.67405093268492e-108,0.652910134800561,1,0.978,1.14753631736585e-103
"Nov",6.75064711953109e-107,-1.73628400693538,0.464,0.821,1.16070626573218e-102
"Rack1",2.04106258593061e-106,0.546406661884122,0.999,0.99,3.50940301024908e-102
"Ctsb",1.88053617189906e-105,-0.876248738665467,0.997,0.999,3.23339389396324e-101
"Lgals3",8.60581583762992e-105,-0.713578446487107,1,1,1.47968397512209e-100
"Rpl28",2.08269138511374e-104,0.609876137115252,1,0.991,3.58097956756456e-100
"Atp6v0a1",3.30703012413309e-103,-0.76469322073351,0.82,0.951,5.68610759543443e-99
"Rgl1",1.07996874566107e-101,-0.806262088617184,0.488,0.783,1.85689826128965e-97
"Rpl37",5.43990103209455e-101,0.596765146138258,1,0.996,9.35336583458337e-97
"Rps10",6.32449840394865e-101,0.515369209418405,1,0.997,1.08743425557493e-96
"Hpgds",1.27521564161078e-99,-0.70913304621372,0.379,0.719,2.19260577418558e-95
"Ltc4s",1.82567717965359e-99,0.639728531700166,0.572,0.164,3.13906934269638e-95
"Rps6",1.00340577341572e-98,0.551192525056798,0.999,0.98,1.72525588681099e-94
"Rpl18",1.0394194361371e-98,0.613107412786185,0.998,0.989,1.78717777849413e-94
"Rpl13",7.25523222815266e-98,0.526355842993226,1,0.998,1.24746462930857e-93
"Rps25",1.16694986323087e-97,0.495488041705215,1,0.982,2.00645359483916e-93
"Cstb",1.43173097697368e-97,-0.560605033558519,0.992,0.995,2.46171824180854e-93
"Rpl15",1.49848450836121e-96,0.720584441459604,0.993,0.978,2.57649426367626e-92
"Rpl34",2.46648334677075e-96,0.575898559173238,0.999,0.99,4.24087146643763e-92
"Ramp1",8.25853535870009e-96,0.704124521615204,0.923,0.633,1.41997256957489e-91
"Ndufa4",3.48230978448292e-95,-0.689078212781982,0.843,0.918,5.98748344343993e-91
"S100a6",7.4615132587143e-95,-0.811896963393018,0.985,0.989,1.28293258970334e-90
"Rpsa",1.05355626580936e-94,0.505409853695996,0.999,0.997,1.81148464343261e-90
"Rpl3",6.80897062430802e-93,0.628378404284444,0.999,0.983,1.17073440914352e-88
"Rpl37a",1.38946065144917e-92,0.45986096115996,1,0.998,2.38903864410171e-88
"Pltp",3.4784311258805e-92,0.678031547414196,0.521,0.143,5.98081447783893e-88
"Gpnmb",1.12321248875527e-91,-0.96942778259032,0.982,0.995,1.93125155316581e-87
"Eif3e",1.17018160650482e-91,0.618189474320597,0.943,0.732,2.01201025422439e-87
"Rpl14",1.19965588626432e-91,0.538397763592412,0.997,0.985,2.06268833084287e-87
"Rpl27a",1.32227493621076e-91,0.567766629800947,0.999,0.996,2.27351952532077e-87
"Rpl32",4.87957929073234e-91,0.568475659788364,1,0.995,8.38994863248518e-87
"Lat2",8.40897114183859e-91,-0.755963774992815,0.51,0.765,1.44583849812773e-86
"Rpl23a",9.81007575342539e-91,0.423085364008994,0.998,0.993,1.68674442504396e-86
"Emilin2",3.15699008956122e-90,-0.736912823490425,0.879,0.95,5.42812875999157e-86
"Tmsb4x",1.38291937259396e-89,0.391485264761444,1,0.999,2.37779156923805e-85
"Tpt1",3.83828693109425e-89,0.445014644860207,1,0.999,6.59955054932346e-85
"Rpl36a",7.91569952414345e-89,0.572189245447561,0.991,0.969,1.36102537618123e-84
"Idh1",3.53004012920875e-87,0.635915311665516,0.962,0.769,6.06955099816152e-83
"Ypel3",1.01652809389771e-86,0.64944695223667,0.836,0.482,1.74781840464773e-82
"Eef2",9.9697918381872e-86,0.581574567336978,0.994,0.971,1.71420600865791e-81
"Rps8",2.31154842422159e-85,0.439040176828454,1,0.999,3.9744763606066e-81
