"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Alox5ap",0,1.49532214576773,0.995,0.578,0
"Mbnl1",0,1.43064591359596,0.996,0.811,0
"Csf1r",0,1.23464444476832,0.973,0.244,0
"Tm6sf1",0,1.15695212504591,0.97,0.279,0
"Traf1",0,-1.42587426115485,0.275,0.933,0
"Cd83",0,-1.60159762151691,0.124,0.942,0
"Cacnb3",0,-1.64579967192684,0.024,0.913,0
"Gm13546",0,-1.79084540846177,0.042,0.884,0
"Pkib",0,-1.81696682235649,0.625,0.97,0
"Fscn1",0,-1.83834640007722,0.01,0.82,0
"Samsn1",0,-1.87580183262462,0.303,0.96,0
"Il4i1",0,-2.10030056596336,0.212,0.948,0
"Ccr7",0,-2.64211202849757,0.034,0.955,0
"Ccl22",0,-2.90831094113666,0.162,0.978,0
"Tnfrsf9",1.08902554576843e-303,-1.53370400838998,0.179,0.921,1.87247052339423e-299
"Gadd45b",1.46757182163575e-303,-1.44270591754774,0.306,0.932,2.5233429901205e-299
"Rabgap1l",3.40582668153432e-303,-1.04874808178262,0.161,0.868,5.8559783962301e-299
"Tmem123",2.41236441201558e-300,-1.92523975341885,0.809,0.973,4.14781937001959e-296
"H2-DMa",3.15947768641568e-300,1.18534166752788,0.997,0.896,5.43240593402312e-296
"Ramp3",7.11611984999481e-299,-1.13776913138642,0.019,0.752,1.22354564700811e-294
"Cfp",6.8374122240931e-298,1.21950991350003,0.978,0.433,1.17562465781057e-293
"Zfp36l2",2.05735011217041e-288,1.10242767642782,0.953,0.283,3.5374077828658e-284
"Ccl5",2.54224773500359e-287,-3.86594225489074,0.113,0.815,4.37114075556518e-283
"Nudt17",3.84500403329196e-285,-0.741084120655218,0.012,0.719,6.61109993484219e-281
"Bcl2a1b",2.61328699766753e-284,-1.25389694395701,0.964,0.98,4.49328566378955e-280
"Ly6e",7.51609228477707e-284,1.50311538673729,0.945,0.244,1.29231690744457e-279
"Basp1",5.73000756564e-282,-1.30913970874519,0.932,0.979,9.85217500836142e-278
"Cytip",7.18509232662723e-281,-1.31639052695485,0.895,0.974,1.23540477464029e-276
"Fxyd5",1.01925418044016e-279,1.015459337558,0.996,0.916,1.75250563784881e-275
"Tep1",4.71434605610686e-277,0.983178443945963,0.952,0.402,8.10584660887014e-273
"Fabp5",9.58101270383281e-276,-2.12415082784316,0.769,0.982,1.64735932429701e-271
"Dpep2",3.77974919844904e-274,1.14658248284186,0.958,0.325,6.49890077181328e-270
"Relb",1.13520914169091e-272,-1.00436754206641,0.307,0.903,1.95187859822334e-268
"Grn",8.86268869553547e-272,1.03760275303508,0.992,0.628,1.52385069431037e-267
"Ccr1",6.9428612663387e-270,1.01509159472234,0.95,0.223,1.19375556613428e-265
"Gm2a",2.65675460611157e-269,1.16647432196069,0.997,0.709,4.56802386974823e-265
"H2-DMb1",6.94336301894674e-269,1.24902991532708,0.981,0.663,1.1938418374777e-264
"P2ry6",3.03745970299052e-266,0.780821015539824,0.849,0.084,5.22260821332191e-262
"Cxcl16",4.38655910300062e-265,-1.41341774072719,0.616,0.959,7.54224972169927e-261
"Btg1",4.96898278676246e-264,-1.15917661396382,0.909,0.987,8.54366900355938e-260
"Fcgr3",1.0015514665902e-262,1.12156753855615,0.96,0.321,1.72206759165519e-258
"Nfam1",1.02420417786077e-262,0.92844629300126,0.961,0.415,1.76101666341381e-258
"Irf8",4.88520105820866e-259,-1.57834777757105,0.646,0.948,8.39961469948398e-255
"Tmsb4x",1.09131324226254e-254,-0.681007495552608,1,1,1.87640398874622e-250
"Serpinb6b",1.31953167259718e-253,-1.51602492338455,0.053,0.711,2.26880275786359e-249
