"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Thbs1",0,0.950161069942142,0.799,0.619,0,"0","Thbs1"
"Creg1",0,0.808490607031716,0.882,0.788,0,"0","Creg1"
"Clec4d",0,0.793533310711631,0.887,0.664,0,"0","Clec4d"
"Bri3",0,0.741241073488905,0.952,0.86,0,"0","Bri3"
"Tnfrsf1b",0,0.733767489408798,0.714,0.556,0,"0","Tnfrsf1b"
"Ninj1",0,0.714404744444651,0.704,0.586,0,"0","Ninj1"
"Clec4n",0,0.69429395046001,0.956,0.811,0,"0","Clec4n"
"Cstb",0,0.649056242093756,0.958,0.896,0,"0","Cstb"
"Lst1",0,0.640456475654847,0.831,0.692,0,"0","Lst1"
"Cd53",0,0.63462524593971,0.925,0.822,0,"0","Cd53"
"Cd68",0,0.621872489991693,0.817,0.669,0,"0","Cd68"
"Card19",0,0.604470522508598,0.78,0.692,0,"0","Card19"
"Gsr",0,0.583902858185955,0.775,0.65,0,"0","Gsr"
"Cebpb",0,0.562678324361598,0.958,0.834,0,"0","Cebpb"
"Cd9",0,0.562377000066074,0.934,0.837,0,"0","Cd9"
"Mmp8",0,0.558364504641578,0.906,0.744,0,"0","Mmp8"
"Psap",0,0.509188654481504,0.994,0.959,0,"0","Psap"
"Fcer1g",0,0.492261059421375,0.973,0.935,0,"0","Fcer1g"
"Emilin2",0,0.483807121214298,0.872,0.773,0,"0","Emilin2"
"Grina",0,0.481713371408026,0.881,0.791,0,"0","Grina"
"H3f3b",0,0.481356456344056,0.981,0.942,0,"0","H3f3b"
"Atp6v1g1",0,0.459300227140902,0.938,0.887,0,"0","Atp6v1g1"
"Ier3",0,0.434608073772742,0.862,0.727,0,"0","Ier3"
"Malat1",0,0.418881802903489,0.997,0.945,0,"0","Malat1"
"Tyrobp",0,0.411428198154895,0.976,0.952,0,"0","Tyrobp"
"Itm2b",0,0.390071505065392,0.958,0.907,0,"0","Itm2b"
"Fxyd5",0,0.350397464551103,0.955,0.918,0,"0","Fxyd5"
"Gabarap",0,0.350312163829875,0.968,0.934,0,"0","Gabarap"
"H3f3a",0,0.329059128796503,0.973,0.954,0,"0","H3f3a"
"Mif",7.0869651467678e-306,0.610457351059532,0.832,0.746,1.21853278733526e-301,"0","Mif"
"Cyba",1.64424544428773e-300,0.355233058046915,0.977,0.944,2.82711561690833e-296,"0","Cyba"
"F10",5.81109420405383e-296,0.764790924093637,0.75,0.634,9.99159537445016e-292,"0","F10"
"Cd63",1.02897692598496e-288,0.481267600191762,0.923,0.786,1.76922292653854e-284,"0","Cd63"
"Zeb2",5.46284771618623e-283,0.539517224414815,0.827,0.686,9.3928203632106e-279,"0","Zeb2"
"Atp6v1e1",2.01413911473335e-282,0.464121829952259,0.86,0.783,3.46311079387252e-278,"0","Atp6v1e1"
"Dock10",7.15948193254326e-281,0.724720609505061,0.723,0.622,1.23100132348149e-276,"0","Dock10"
"Sdcbp",7.64517665384123e-267,0.481253872578533,0.894,0.809,1.31451167386146e-262,"0","Sdcbp"
"Mt1",3.21471154126562e-266,0.735250441945717,0.91,0.812,5.52737502405211e-262,"0","Mt1"
"Tnfaip2",9.02720394713029e-264,0.52647799095888,0.835,0.741,1.55213744666958e-259,"0","Tnfaip2"
"Ear6",2.58140766348754e-261,1.12458616053213,0.273,0.095,4.43847233660047e-257,"0","Ear6"
"C3",4.85915781164284e-259,0.455664913907041,0.745,0.545,8.35483594133869e-255,"0","C3"
"Slc7a11",1.04154572638973e-256,0.820847107666165,0.636,0.486,1.7908337219545e-252,"0","Slc7a11"
"Bnip3l",8.62471372698224e-250,0.521164806219615,0.871,0.823,1.48293327821733e-245,"0","Bnip3l"
"Ftl1",3.66980709289653e-249,0.319509439346841,0.999,0.999,6.30986631552629e-245,"0","Ftl1"
"Sod2",1.80857996224969e-244,0.725364125896738,0.713,0.656,3.10967238709212e-240,"0","Sod2"
"Aldoa",1.80118430373976e-242,0.377024877475688,0.937,0.906,3.09695629185015e-238,"0","Aldoa"
"Bst1",2.19275160689783e-236,0.557393090446875,0.736,0.595,3.77021711290014e-232,"0","Bst1"
"Fnip2",1.05861456488024e-231,0.717782758762961,0.602,0.465,1.82018188285508e-227,"0","Fnip2"
"Atp6v0b",1.42726401364209e-229,0.34641434915708,0.898,0.847,2.45403774505621e-225,"0","Atp6v0b"
"Cd93",6.15236535223983e-227,0.515561923435622,0.714,0.528,1.05783769866412e-222,"0","Cd93"
"Hexa",1.44084025213442e-225,0.450141672935814,0.805,0.705,2.47738072951993e-221,"0","Hexa"
"Slc43a2",2.61610606138737e-224,0.560016008873421,0.707,0.63,4.49813276194945e-220,"0","Slc43a2"
"Rabac1",1.48563176187431e-221,0.412851884245007,0.796,0.776,2.5543952513667e-217,"0","Rabac1"
"Mpeg1",1.72752713198437e-218,0.480777548019245,0.852,0.681,2.97031015073393e-214,"0","Mpeg1"
"Gstm1",3.32344430236217e-215,0.697564670148644,0.689,0.52,5.71433013348151e-211,"0","Gstm1"
"Rbx1",5.45531130017152e-210,0.356720062570118,0.832,0.809,9.37986224951492e-206,"0","Rbx1"
"Lamp1",4.04311665081933e-209,0.313382707099991,0.942,0.846,6.95173476941875e-205,"0","Lamp1"
"Rhoa",1.07630057923734e-208,0.293744266543253,0.905,0.875,1.85059121594068e-204,"0","Rhoa"
"Vmp1",3.47297820497658e-202,0.540403710733907,0.757,0.674,5.97143872563672e-198,"0","Vmp1"
"Cpd",1.63265509922409e-200,0.343613829227242,0.788,0.74,2.8071871776059e-196,"0","Cpd"
"Rab7",2.30417547685628e-196,0.361802997741929,0.877,0.846,3.96179931490669e-192,"0","Rab7"
"Wfdc21",3.48558426493069e-194,0.479090631026301,0.875,0.741,5.99311358512183e-190,"0","Wfdc21"
"Gng5",1.50115482389696e-191,0.261055501955471,0.941,0.921,2.58108560420843e-187,"0","Gng5"
"Ccl3",9.28141334374298e-187,0.544487113674194,0.588,0.418,1.59584621032317e-182,"0","Ccl3"
"Ube2d3",1.57908143131204e-186,0.299066649967342,0.879,0.865,2.71507261299793e-182,"0","Ube2d3"
